BOROUGH,NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE,YEAR
BRONX,PELHAM PARKWAY SOUTH,02 TWO FAMILY HOMES,20,475000,828700,822500,1125000,2022
BRONX,PELHAM PARKWAY SOUTH,03 THREE FAMILY HOMES,3,455000,841667,945000,1125000,2022
BRONX,RIVERDALE,01 ONE FAMILY HOMES,57,370000,1351782,1007500,3625000,2022
BRONX,RIVERDALE,02 TWO FAMILY HOMES,19,400000,990263,849000,3300000,2022
BRONX,RIVERDALE,03 THREE FAMILY HOMES,6,820000,1129745,1186735,1350000,2022
BRONX,SCHUYLERVILLE/PELHAM BAY,01 ONE FAMILY HOMES,50,325000,643243,645000,970000,2022
BRONX,SCHUYLERVILLE/PELHAM BAY,02 TWO FAMILY HOMES,75,535000,824320,805000,1280000,2022
BRONX,SCHUYLERVILLE/PELHAM BAY,03 THREE FAMILY HOMES,30,550000,1005192,962500,2225000,2022
BRONX,SOUNDVIEW,01 ONE FAMILY HOMES,38,275000,500603,507500,885000,2022
BRONX,SOUNDVIEW,03 THREE FAMILY HOMES,54,200000,846272,880000,1200000,2022
BRONX,THROGS NECK,01 ONE FAMILY HOMES,150,200000,524098,548400,975000,2022
BRONX,THROGS NECK,02 TWO FAMILY HOMES,97,200000,760205,745000,1832850,2022
BRONX,THROGS NECK,03 THREE FAMILY HOMES,11,800000,1012901,940000,1551000,2022
BRONX,WAKEFIELD,01 ONE FAMILY HOMES,66,300000,556975,560000,2058200,2022
BRONX,WAKEFIELD,02 TWO FAMILY HOMES,75,235000,669624,690000,1100000,2022
BRONX,WAKEFIELD,03 THREE FAMILY HOMES,15,580000,880533,890000,1200000,2022
BRONX,WESTCHESTER,01 ONE FAMILY HOMES,17,380000,592529,600000,700000,2022
BRONX,WESTCHESTER,02 TWO FAMILY HOMES,33,233000,784758,820000,1240000,2022
BRONX,WESTCHESTER,03 THREE FAMILY HOMES,14,600000,863849,910000,1170988,2022
BRONX,WILLIAMSBRIDGE,01 ONE FAMILY HOMES,45,260000,560054,571000,750000,2022
BRONX,WILLIAMSBRIDGE,02 TWO FAMILY HOMES,83,350000,692402,710000,999000,2022
BRONX,WILLIAMSBRIDGE,03 THREE FAMILY HOMES,31,250000,790265,815000,1500000,2022
BRONX,WOODLAWN,01 ONE FAMILY HOMES,28,225000,648187,645000,901500,2022
BRONX,WOODLAWN,02 TWO FAMILY HOMES,16,400000,734969,787000,925000,2022
BRONX,WOODLAWN,03 THREE FAMILY HOMES,8,855000,943063,957500,1050000,2022
BROOKLYN,BATH BEACH,01 ONE FAMILY HOMES,19,758000,992316,880000,2430000,2022
BROOKLYN,BATH BEACH,02 TWO FAMILY HOMES,74,660000,1191740,1215000,1865000,2022
BROOKLYN,BATH BEACH,03 THREE FAMILY HOMES,32,230000,1610506,1672500,2392888,2022
BROOKLYN,BAY RIDGE,01 ONE FAMILY HOMES,133,363000,1362182,1198000,7425000,2022
BROOKLYN,BAY RIDGE,02 TWO FAMILY HOMES,150,250000,1320003,1300000,2999999,2022
BROOKLYN,BAY RIDGE,03 THREE FAMILY HOMES,17,227500,1439853,1580000,2300000,2022
BROOKLYN,BEDFORD STUYVESANT,01 ONE FAMILY HOMES,27,750000,1686685,1650000,3300000,2022
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY HOMES,234,275000,1658849,1550000,4852000,2022
BROOKLYN,BEDFORD STUYVESANT,03 THREE FAMILY HOMES,98,395460,1836561,1800000,5900000,2022
BROOKLYN,BENSONHURST,01 ONE FAMILY HOMES,49,232000,1102949,999000,2450000,2022
BROOKLYN,BENSONHURST,02 TWO FAMILY HOMES,118,440000,1360758,1350000,3000000,2022
BROOKLYN,BENSONHURST,03 THREE FAMILY HOMES,51,286667,1449370,1510000,2180000,2022
BROOKLYN,BERGEN BEACH,01 ONE FAMILY HOMES,39,310415,910474,855000,1850000,2022
BROOKLYN,BERGEN BEACH,02 TWO FAMILY HOMES,40,645000,1000125,990000,1530000,2022
BROOKLYN,BERGEN BEACH,03 THREE FAMILY HOMES,20,388383,977134,999334,1290000,2022
BROOKLYN,BOERUM HILL,01 ONE FAMILY HOMES,9,1875000,5748357,5500000,9500000,2022
BROOKLYN,BOERUM HILL,02 TWO FAMILY HOMES,19,1250000,3608928,3300000,7900000,2022
BROOKLYN,BOERUM HILL,03 THREE FAMILY HOMES,9,1309500,2997167,3180000,4500000,2022
BROOKLYN,BOROUGH PARK,01 ONE FAMILY HOMES,64,453625,1305050,1145000,3450500,2022
BROOKLYN,BOROUGH PARK,02 TWO FAMILY HOMES,199,575000,1650391,1530000,4600000,2022
